Symbol	DTE	Expiration
Date	Strike	Future Price	Straddle Price	Volatility	Open Interest
Settle	Prior	Chg	Settle	Prior	Chg	Settle	Prior	Chg	Call	Call Chg	Put	Put Chg
SD5N6	1	30/07/2026	0.714	0.7137	0.7105	0.0032	0.0015	0.0041	-0.0026	6.35	7.47	-1.12	40	0	0	0
CD5N6	2	31/07/2026	0.714	0.7137	0.7105	0.0032	0.0017	0.0044	-0.0027	4.45	6.82	-2.37	37	30	0	0
MD1Q6	5	03/08/2026	0.714	0.7137	0.7105	0.0032	0.0021	0.0045	-0.0024	3.26	4.85	-1.59	0	0	0	0
TL1Q6	6	04/08/2026	0.714	0.7137	0.7105	0.0032	0.0025	0.0047	-0.0022	3.53	4.83	-1.30	0	0	0	0
WD1Q6	7	05/08/2026	0.714	0.7137	0.7105	0.0032	0.0033	0.0049	-0.0016	4.30	4.82	-0.52	31	31	0	0
SD1Q6	8	06/08/2026	0.714	0.7137	0.7105	0.0032	0.0029	0.0051	-0.0022	3.52	4.82	-1.30	0	0	0	0
CAUQ6	9	07/08/2026	0.714	0.7137	0.7105	0.0032	0.0035	0.0055	-0.002	3.99	5.09	-1.10	114	0	4	0
MD2Q6	12	10/08/2026	0.714	0.7137	0.7105	0.0032	0.0035	0.0057	-0.0022	3.44	4.67	-1.23	0	0	0	0
TL2Q6	13	11/08/2026	0.714	0.7137	0	0.7137	0.0039	0	0.0039	3.68	0.00	3.68	0	0	0	0
WD2Q6	14	12/08/2026	0.714	0.7137	0.7105	0.0032	0.0041	0.0059	-0.0018	3.73	4.54	-0.82	39	39	0	0
CD2Q6	16	14/08/2026	0.714	0.7137	0.7105	0.0032	0.0045	0.0063	-0.0018	3.82	4.64	-0.82	138	0	0	0
MD3Q6	19	17/08/2026	0.714	0.7137	0.7105	0.0032	0.0049	0.0065	-0.0016	3.81	4.44	-0.63	0	0	0	0
WD3Q6	21	19/08/2026	0.714	0.7137	0.7105	0.0032	0.0051	0.0067	-0.0016	3.77	4.39	-0.62	0	0	0	0
CD3Q6	23	21/08/2026	0.714	0.7137	0.7105	0.0032	0.0053	0.007	-0.0017	3.74	4.51	-0.77	2	1	0	0
MD4Q6	26	24/08/2026	0.714	0.7137	0.7105	0.0032	0.0057	0.0071	-0.0014	3.78	4.25	-0.47	0	0	0	0
CD4Q6	30	28/08/2026	0.714	0.7137	0.7105	0.0032	0.0063	0.0075	-0.0012	3.89	4.23	-0.34	0	0	0	0
CAUU6	37	04/09/2026	0.715	0.7137	0.7105	0.0032	0.0073	0.0089	-0.0016	4.02	4.46	-0.44	601	9	255	0
CAUV6	72	09/10/2026	0.715	0.7168	0.7137	0.0031	0.0108	0.0111	-0.0003	4.26	4.38	-0.12	757	0	26	0
CAUX6	100	06/11/2026	0.715	0.7168	0.7137	0.0031	0.0128	0.0133	-0.0005	4.31	4.48	-0.17	18	0	3	0
CAUZ6	128	04/12/2026	0.715	0.7168	0.7137	0.0031	0.0148	0.0151	-0.0003	4.42	4.51	-0.09	11	0	142	0
CAUF7	163	08/01/2027	0.72	0.72	0.7168	0.0032	0.0168	0.0171	-0.0003	4.45	4.50	-0.04	65	0	174	0
CAUG7	191	05/02/2027	0.72	0.72	0.7168	0.0032	0.0186	0.0189	-0.0003	4.57	4.61	-0.04	0	0	1	0
CAUH7	219	05/03/2027	0.72	0.72	0.7168	0.0032	0.0202	0.0203	-0.0001	4.65	4.64	0.00	3	0	0	0
CAUJ7	254	09/04/2027	0.725	0.7229	0.71965	0.00325	0.0212	0.0226	-0.0014	4.51	4.74	-0.24	0	0	0	0
CAUK7	282	07/05/2027	0.725	0.7229	0.71965	0.00325	0.0227	0.0239	-0.0012	4.60	4.80	-0.21	0	0	0	0
CAUM7	310	04/06/2027	0.725	0.7229	0.71965	0.00325	0.0241	0.0252	-0.0011	4.67	4.83	-0.16	0	0	24	0
CAUN7	345	09/07/2027	0.725	0.72535	0.72215	0.0032	0.0266	0.0266	0	4.91	4.89	0.02	0	0	0	0
