date,spike_ratio,join_ok,r0,r1,r5,score,llmScore,dScore,dLlmScore
2016-01-27,7.7173913043497775,True,0.0003060840235607,-0.0028614876767442,-0.0206526641971657,-0.333333333333333,-0.4,,
2016-03-16,17.58241758241825,True,-0.0117166554107926,-0.0139138737898475,0.0010895178038018,-0.142857142857143,-0.35,0.1905,0.05
2016-04-27,17.614457831322827,True,0.0014504963445093,-0.0114164789362042,-0.0049731270358886,0.0,-0.3,0.1429,0.05
2016-06-15,11.428571428569072,True,-0.0017474647679547,0.0020485510921797,-0.0098213317400948,-0.6,-0.55,-0.6,-0.25
2016-07-27,12.09523809523588,True,0.0007411515385761,-0.0054960603038777,-0.0188133515548003,-0.428571428571429,0.2,0.1714,0.75
2016-09-21,18.82142857142506,True,-0.0006340503623923,-0.0047409282375872,-0.0017228509577031,-0.333333333333333,0.25,0.0952,0.05
2016-11-02,7.938461538458427,True,0.0004123831895826,-0.0028964827403809,0.0070332175457237,-0.333333333333333,0.35,0.0,0.1
2016-12-14,15.472527472524126,True,0.006610551794791,0.0136584407523089,0.0196938813408023,-0.333333333333333,0.45,0.0,0.1
2017-02-01,8.500000000000252,True,-0.0032750706575938,-0.0010499951539715,0.0021377946594364,-0.6,-0.1,-0.2667,-0.55
2017-03-15,22.46666666666072,True,-0.0068496548147995,-0.0026920463436639,-0.0116818610403478,-0.333333333333333,0.35,0.2667,0.45
2017-05-03,6.6197183098567765,True,0.0019293288105549,-1.2388577627658211e-05,0.0040943681766068,-0.666666666666667,-0.15,-0.3333,-0.5
2017-06-14,11.625000000000304,True,0.0020917515315818,0.0076340460149615,0.0093833732139375,-0.25,0.45,0.4167,0.6
2017-07-26,18.566666666675832,True,-0.0042048645434883,0.0026681650045337,-0.0007797079877634,-0.5,0.15,-0.25,-0.3
2017-09-20,21.45679012345172,True,0.0085559826335203,0.0012666204850351,0.0097950513933449,-0.5,0.15,0.0,0.0
2017-11-01,6.583333333334824,True,0.0011609059063781,-0.0014136917121706,-0.0017916070618282,-0.2,0.2,0.3,0.05
2017-12-13,8.450704225351945,True,-0.0012270456861173,-0.0030012858587235,-0.0010183834963767,0.142857142857143,0.3,0.3429,0.1
2018-01-31,8.571428571429175,True,0.0017504829385729,-0.0033395723583828,0.0152872790980172,0.0,0.3,-0.1429,0.0
2018-03-21,20.984126984122653,True,-0.0011797812076245,-0.0012700378258299,0.0020110173221405,0.0,0.25,0.0,-0.05
