Year,Month,Date,IFO_Level,IFO_Change_Pct,DAX_Price,DAX_Return,IFO_Previous,IFO_Direction,IFO_Bullish,IFO_Bearish,Position
2006,2,2006-02-01,102.3,0.78817734,5796.04,2.1481631610021035,101.5,0.7999999999999972,True,False,1
2006,3,2006-03-01,102.1,-0.195503421,5970.08,3.0027398016576834,102.3,-0.20000000000000284,False,True,-1
2006,4,2006-04-01,101.8,-0.293829579,6009.89,0.6668252351727411,102.1,-0.29999999999999716,False,True,-1
2006,5,2006-05-01,100.8,-0.982318271,5692.86,-5.275138147287228,101.8,-1.0,False,True,-1
2006,6,2006-06-01,101.4,0.595238095,5683.31,-0.16775399359898469,100.8,0.6000000000000085,True,False,1
2006,7,2006-07-01,100.2,-1.183431953,5681.97,-0.02357780941036891,101.4,-1.2000000000000028,False,True,-1
2006,8,2006-08-01,100.1,-0.099800399,5859.57,3.1256764819243887,100.2,-0.10000000000000853,False,True,-1
2006,9,2006-09-01,100.1,0.0,6004.33,2.4704884488111034,100.1,0.0,False,False,-1
2006,10,2006-10-01,100.0,-0.0999001,6268.92,4.406653198608335,100.1,-0.09999999999999432,False,True,-1
2006,11,2006-11-01,101.6,1.6,6309.19,0.6423754011855243,100.0,1.5999999999999943,True,False,1
2006,12,2006-12-01,102.3,0.688976378,6596.92,4.560490332356459,101.6,0.7000000000000028,True,False,1
2007,1,2007-01-01,102.9,0.586510264,6789.11,2.913329250619978,102.3,0.6000000000000085,True,False,1
2007,2,2007-02-01,101.3,-1.554907677,6715.44,-1.0851201409315836,102.9,-1.6000000000000085,False,True,-1
2007,3,2007-03-01,101.6,0.296150049,6917.03,3.0018881860309987,101.3,0.29999999999999716,True,False,1
2007,4,2007-04-01,101.3,-0.295275591,7408.87,7.1105662401348635,101.6,-0.29999999999999716,False,True,-1
2007,5,2007-05-01,101.8,0.493583416,7883.04,6.400031313817078,101.3,0.5,True,False,1
2007,6,2007-06-01,100.9,-0.884086444,8007.32,1.5765491485518313,101.8,-0.8999999999999915,False,True,-1
2007,7,2007-07-01,101.1,0.198216056,7584.14,-5.28491430341237,100.9,0.19999999999998863,True,False,1
2007,8,2007-08-01,100.6,-0.494559842,7638.17,0.712407735089271,101.1,-0.5,False,True,-1
2007,9,2007-09-01,99.7,-0.894632207,7861.51,2.9239988112335746,100.6,-0.8999999999999915,False,True,-1
2007,10,2007-10-01,100.0,0.300902708,8019.22,2.006103153211014,99.7,0.29999999999999716,True,False,1
2007,11,2007-11-01,98.7,-1.3,7870.52,-1.8542950561276528,100.0,-1.2999999999999972,False,True,-1
2007,12,2007-12-01,99.8,1.114488349,8067.32,2.5004701087094627,98.7,1.0999999999999943,True,False,1
2008,1,2008-01-01,97.6,-2.204408818,6851.75,-15.067829217137785,99.8,-2.200000000000003,False,True,-1
2008,2,2008-02-01,97.5,-0.102459016,6748.13,-1.512314372240664,97.6,-0.09999999999999432,False,True,-1
2008,3,2008-03-01,97.3,-0.205128205,6534.97,-3.1588010308040926,97.5,-0.20000000000000284,False,True,-1
2008,4,2008-04-01,95.7,-1.644398767,6948.82,6.332852331380234,97.3,-1.5999999999999943,False,True,-1
2008,5,2008-05-01,95.6,-0.104493208,7096.79,2.1294262910825257,95.7,-0.10000000000000853,False,True,-1
2008,6,2008-06-01,94.3,-1.359832636,6418.32,-9.560237797652182,95.6,-1.2999999999999972,False,True,-1
2008,7,2008-07-01,91.1,-3.393425239,6479.56,0.9541437634770666,94.3,-3.200000000000003,False,True,-1
2008,8,2008-08-01,89.7,-1.536772777,6422.3,-0.8837019797640622,91.1,-1.3999999999999915,False,True,-1
2008,9,2008-09-01,90.1,0.445930881,5831.02,-9.206670507450598,89.7,0.3999999999999915,True,False,1
